"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test transaction estimate with single argument","1048","testTransactionEstimateWithSingleArg","Surefire suite","Tue Nov 04 10:44:43 IST 2025","passed","Tue Nov 04 10:44:44 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithSingleArg"
"Validate response time for get price API","359","validateGetPriceResponseTime","Surefire suite","Tue Nov 04 10:44:57 IST 2025","passed","Tue Nov 04 10:44:57 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","validateGetPriceResponseTime"
"Test get price for non-existent contract address","361","getPriceForNonExistentContract","Surefire suite","Tue Nov 04 10:44:58 IST 2025","passed","Tue Nov 04 10:44:59 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceForNonExistentContract"
"To Get Estimation for deploying  Contract with 2 args","150","deployContract","Surefire suite","Tue Nov 04 10:44:59 IST 2025","failed","Tue Nov 04 10:44:59 IST 2025","in.mai.yourproject.testsuite.DeployEstimate","Surefire test","in.mai.yourproject.testsuite.DeployEstimate","deployContract"
"Data driven test for valid contract addresses","376","getPriceWithValidAddresses","Surefire suite","Tue Nov 04 10:44:33 IST 2025","skipped","Tue Nov 04 10:44:34 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithValidAddresses"
"Test transaction estimate with different chain ID","1934","testTransactionEstimateWithDifferentChainId","Surefire suite","Tue Nov 04 10:44:44 IST 2025","passed","Tue Nov 04 10:44:46 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithDifferentChainId"
"Deploy Contract with zero chain ID - Edge Case (Expected 500)","144","deployContractWithZeroChainId","Surefire suite","Tue Nov 04 10:44:29 IST 2025","passed","Tue Nov 04 10:44:29 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithZeroChainId"
"Test transaction estimate with numeric arguments","1041","testTransactionEstimateWithNumericArgs","Surefire suite","Tue Nov 04 10:44:48 IST 2025","passed","Tue Nov 04 10:44:49 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithNumericArgs"
"Test transaction estimate with string arguments","1044","testTransactionEstimateWithStringArgs","Surefire suite","Tue Nov 04 10:44:49 IST 2025","passed","Tue Nov 04 10:44:50 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithStringArgs"
"Deploy Contract with empty bytecode - Negative Test (Expected 500)","98","deployContractWithEmptyBytecode","Surefire suite","Tue Nov 04 10:43:14 IST 2025","passed","Tue Nov 04 10:43:14 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithEmptyBytecode"
"Test transaction estimate with null contract address","97","testTransactionEstimateWithNullContractAddress","Surefire suite","Tue Nov 04 10:44:46 IST 2025","passed","Tue Nov 04 10:44:46 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithNullContractAddress"
"Data driven test for valid contract addresses","356","getPriceWithValidAddresses","Surefire suite","Tue Nov 04 10:44:35 IST 2025","passed","Tue Nov 04 10:44:35 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithValidAddresses"
"Get price with null contract address - Negative Test","98","getPriceWithNullContractAddress","Surefire suite","Tue Nov 04 10:44:56 IST 2025","passed","Tue Nov 04 10:44:56 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceWithNullContractAddress"
"Send Transaction with 2 args","3335","deployContract","Surefire suite","Tue Nov 04 10:44:29 IST 2025","passed","Tue Nov 04 10:44:33 IST 2025","in.mai.yourproject.testsuite.SendTransaction","Surefire test","in.mai.yourproject.testsuite.SendTransaction","deployContract"
"Get supported tokens list","175","getSupportedTokens","Surefire suite","Tue Nov 04 10:44:59 IST 2025","passed","Tue Nov 04 10:44:59 IST 2025","in.mai.yourproject.testsuite.GetSupportedTokens","Surefire test","in.mai.yourproject.testsuite.GetSupportedTokens","getSupportedTokens"
"Test transaction estimate response structure validation","1062","testTransactionEstimateResponseStructure","Surefire suite","Tue Nov 04 10:44:47 IST 2025","passed","Tue Nov 04 10:44:48 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateResponseStructure"
"Deploy Contract with invalid token standard - Negative Test (Expected 500)","23966","deployContractWithInvalidTokenStandard","Surefire suite","Tue Nov 04 10:42:50 IST 2025","failed","Tue Nov 04 10:43:14 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithInvalidTokenStandard"
"Data driven test for invalid contract addresses","340","getPriceWithInvalidAddresses","Surefire suite","Tue Nov 04 10:44:35 IST 2025","passed","Tue Nov 04 10:44:36 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Test get price with boundary values","355","getPriceWithBoundaryValues","Surefire suite","Tue Nov 04 10:44:38 IST 2025","failed","Tue Nov 04 10:44:38 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithBoundaryValues"
"Test get price API with missing required parameters","365","getPriceWithMissingParameters","Surefire suite","Tue Nov 04 10:44:58 IST 2025","passed","Tue Nov 04 10:44:58 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceWithMissingParameters"
"Deploy Contract without ABI - Negative Test (Expected 500)","151","deployContractWithoutABI","Surefire suite","Tue Nov 04 10:42:22 IST 2025","passed","Tue Nov 04 10:42:22 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithoutABI"
"Deploy Contract with null bytecode - Negative Test (Expected 500)","97","deployContractWithNullBytecode","Surefire suite","Tue Nov 04 10:43:14 IST 2025","passed","Tue Nov 04 10:43:14 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithNullBytecode"
"Test transaction estimate with custom RPC URL","1088","testTransactionEstimateWithCustomRpcUrl","Surefire suite","Tue Nov 04 10:44:46 IST 2025","passed","Tue Nov 04 10:44:47 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithCustomRpcUrl"
"Test transaction estimate consistency - same request should return similar results","3132","testTransactionEstimateConsistency","Surefire suite","Tue Nov 04 10:44:52 IST 2025","passed","Tue Nov 04 10:44:55 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateConsistency"
"Deploy Contract with unicode characters in constructor args - Edge Case","23244","deployContractWithUnicodeCharacters","Surefire suite","Tue Nov 04 10:44:05 IST 2025","passed","Tue Nov 04 10:44:28 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithUnicodeCharacters"
"Data driven test for valid contract addresses","861","getPriceWithValidAddresses","Surefire suite","Tue Nov 04 10:44:33 IST 2025","passed","Tue Nov 04 10:44:33 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithValidAddresses"
"Test get price performance with multiple concurrent requests","1735","getPricePerformanceTest","Surefire suite","Tue Nov 04 10:44:38 IST 2025","passed","Tue Nov 04 10:44:40 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPricePerformanceTest"
"Data driven test for invalid contract addresses","348","getPriceWithInvalidAddresses","Surefire suite","Tue Nov 04 10:44:36 IST 2025","passed","Tue Nov 04 10:44:36 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Get price for multiple valid contract addresses - Data Driven Test","1062","getPriceForMultipleContractAddresses","Surefire suite","Tue Nov 04 10:44:56 IST 2025","passed","Tue Nov 04 10:44:57 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceForMultipleContractAddresses"
"Get price with empty contract address - Negative Test","94","getPriceWithEmptyContractAddress","Surefire suite","Tue Nov 04 10:44:55 IST 2025","passed","Tue Nov 04 10:44:56 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceWithEmptyContractAddress"
"Deploy Contract with invalid chain ID - Negative Test (Expected 500)","2530","deployContractWithInvalidChainId","Surefire suite","Tue Nov 04 10:42:23 IST 2025","passed","Tue Nov 04 10:42:25 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithInvalidChainId"
"Get price for valid contract address - Positive Test","397","getPriceWithValidContractAddress","Surefire suite","Tue Nov 04 10:44:55 IST 2025","passed","Tue Nov 04 10:44:55 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceWithValidContractAddress"
"Test get price with special characters in contract address","477","getPriceWithSpecialCharactersInAddress","Surefire suite","Tue Nov 04 10:44:57 IST 2025","passed","Tue Nov 04 10:44:58 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceWithSpecialCharactersInAddress"
"Data driven test for valid contract addresses","346","getPriceWithValidAddresses","Surefire suite","Tue Nov 04 10:44:34 IST 2025","passed","Tue Nov 04 10:44:35 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithValidAddresses"
"Deploy Contract with custom RPC URL - Positive Test","23934","deployContractWithCustomRPC","Surefire suite","Tue Nov 04 10:41:58 IST 2025","passed","Tue Nov 04 10:42:22 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithCustomRPC"
"Data driven test for invalid contract addresses","335","getPriceWithInvalidAddresses","Surefire suite","Tue Nov 04 10:44:37 IST 2025","passed","Tue Nov 04 10:44:37 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Test transaction estimate with empty arguments list","1054","testTransactionEstimateWithEmptyArgs","Surefire suite","Tue Nov 04 10:44:42 IST 2025","passed","Tue Nov 04 10:44:43 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithEmptyArgs"
